from,to,weight,activation,EC50,n
INO2_INO4,FAS1,1,TRUE,0.440572621,1.460663153
INO2_INO4,FAS2,1,TRUE,0.42816373,1.439911983
INO2_INO4,GUT1,1,TRUE,0.427882396,1.770343046
INO2_INO4,HNM1,1,TRUE,0.40199231,1.473718677
INO2_INO4,INO1,1,TRUE,0.595229306,1.464312789
INO2_INO4,INO2,1,TRUE,0.473751013,1.776098761
INO2_INO4,ITR1,1,TRUE,0.45742912,1.561085416
INO2_INO4,OPI3,1,TRUE,0.49015788,1.471897852
INO2_INO4,PGS1,1,TRUE,0.543268599,1.621190066
INO2_INO4,PSD1,1,TRUE,0.5880795,1.619680402
INO4,ACC1,1,TRUE,0.415723147,1.591974416
IXR1,COX5B,1,FALSE,0.570088525,1.562065286
KAR4,CIK1,1,TRUE,0.471246728,1.463327669
KAR4,KAR3,1,TRUE,0.517111376,1.608616697
LEU3,GDH1,1,TRUE,0.585277578,1.513803229
LEU3,ILV1,1,TRUE,0.401712856,1.469200996
LEU3,ILV2,1,TRUE,0.514941851,1.52054307
LEU3,ILV5,1,TRUE,0.562229603,1.762592033
LEU3,LEU1,1,TRUE,0.437530681,1.718898648
LEU3,LEU2,1,TRUE,0.524998643,1.569277983
LEU3,LEU4,1,TRUE,0.528140794,1.410332443
LYS14,LYS1,1,TRUE,0.484355668,1.486662493
LYS14,LYS12,1,TRUE,0.534101763,1.710562822
LYS14,LYS2,1,TRUE,0.586094585,1.579398209
LYS14,LYS5,1,TRUE,0.459839016,1.711357255
LYS14,LYS9,1,TRUE,0.474374051,1.42797957
MAC1,CRR1,1,TRUE,0.591362143,1.724607455
MAC1,CTR1,1,TRUE,0.593530502,1.76343857
MAC1,CTR3,1,TRUE,0.543875099,1.527877045
MAC1,CTT1,1,TRUE,0.567986859,1.442446214
MAC1,FRE1,1,TRUE,0.448104197,1.392372112
MAC1,FRE7,1,TRUE,0.554369563,1.547140889
MAC1,YFR055W,1,TRUE,0.542541475,1.783003362
MAC1,YJL217W,1,TRUE,0.456928924,1.46771208
MAL33,MAL31,1,TRUE,0.573919653,1.543512719
MBP1_SWI6,CDC2,1,TRUE,0.549596165,1.720876034
MBP1_SWI6,CDC21,1,TRUE,0.508947861,1.572400927
MBP1_SWI6,CDC6,1,TRUE,0.514560665,1.435380934
MBP1_SWI6,CDC8,1,TRUE,0.469616155,1.509937476
MBP1_SWI6,CDC9,1,TRUE,0.430676256,1.612863285
MBP1_SWI6,CLB5,1,TRUE,0.530143289,1.440083144
MBP1_SWI6,CLB6,1,TRUE,0.507783612,1.779131733
MBP1_SWI6,CTF4,1,TRUE,0.595251366,1.601628067
MBP1_SWI6,DBF4,1,TRUE,0.54052166,1.73610078
MBP1_SWI6,DNA43,1,TRUE,0.513332705,1.406691371
MBP1_SWI6,DPB2,1,TRUE,0.59868185,1.440829813
MBP1_SWI6,DPB3,1,TRUE,0.451457323,1.426061217
MBP1_SWI6,NUF1,1,TRUE,0.405003159,1.799411554
MBP1_SWI6,NUP116,1,TRUE,0.471321755,1.514760721
MBP1_SWI6,PMS1,1,TRUE,0.4830446,1.724376885
MBP1_SWI6,POL1,1,TRUE,0.543882749,1.54593157
MBP1_SWI6,POL12,1,TRUE,0.414071251,1.725355641
MBP1_SWI6,POL2,1,TRUE,0.579265065,1.554965328
MBP1_SWI6,PRI1,1,TRUE,0.576015858,1.538693033
MBP1_SWI6,PRI2,1,TRUE,0.594705679,1.635908089
MBP1_SWI6,RAD27,1,TRUE,0.487005325,1.758089493
MBP1_SWI6,RAD5,1,TRUE,0.580008369,1.527598775
MBP1_SWI6,RAD51,1,TRUE,0.498051409,1.674661831
MBP1_SWI6,RAD53,1,TRUE,0.47703117,1.392857186
MBP1_SWI6,RAD54,1,TRUE,0.530453527,1.639378011
MBP1_SWI6,RFA1,1,TRUE,0.466228082,1.5219777
MBP1_SWI6,RFA2,1,TRUE,0.558844051,1.492610163
MBP1_SWI6,RFA3,1,TRUE,0.510829902,1.795545046
MBP1_SWI6,RNR1,1,TRUE,0.533150619,1.397394149
MBP1_SWI6,SPC42,1,TRUE,0.541597649,1.709283847
MBP1_SWI6,SWI4,1,TRUE,0.520546915,1.472148905
MBP1_SWI6,SWI4_SWI6,1,TRUE,0.487809748,1.707819554
MBP1_SWI6,TOP2,1,TRUE,0.482124301,1.410763888
MBP1_SWI6,TRR1,1,TRUE,0.411417269,1.548303227
MBP1_SWI6,TUB4,1,TRUE,0.571124582,1.758703049
MBP1_SWI6,UNG1,1,TRUE,0.532118863,1.406420185
MCM1,ARG5,1,TRUE,0.50684479,1.721450152
MCM1,CAR1,1,TRUE,0.58430874,1.552822622
MCM1,CAR2,1,FALSE,0.593096199,1.455080396
MCM1,CDC5,1,TRUE,0.530941076,1.604529859
MCM1,CLB1,1,TRUE,0.485842864,1.423626233
MCM1,CLB2,1,TRUE,0.452458185,1.763958016
MCM1,MFALPHA1,1,TRUE,0.534311117,1.57703971
MCM1,PMA1,1,TRUE,0.510628421,1.468461781
MCM1,STE2,1,TRUE,0.526460906,1.764357575
MCM1,STE3,1,TRUE,0.505688552,1.458210532
MCM1,STE6,1,TRUE,0.401189392,1.423451445
MCM1,SWI5,1,TRUE,0.564430627,1.633995287
MET4,MET14,1,TRUE,0.462287059,1.456760927
MET4,MET16,1,TRUE,0.534232872,1.742050252
MET4,MET17,1,TRUE,0.585846528,1.725177419
MET4,MET2,1,TRUE,0.527373803,1.628119575
MET4,MET28,1,FALSE,0.49033478,1.615615585
MET4,MET3,1,TRUE,0.551132926,1.472831653
MET4,MET6,1,TRUE,0.430130275,1.475511665
MIG1,CAT8,1,FALSE,0.569801841,1.618359855
MIG1,CYC1,1,FALSE,0.406916721,1.529351648
MIG1,DOG2,1,FALSE,0.555536448,1.644935063
MIG1,GAL1,1,FALSE,0.52027768,1.415162578
MIG1,GAL4,1,FALSE,0.468570916,1.631879372
MIG1,HAP2,1,FALSE,0.569647461,1.53792713
MIG1,HAP4,1,FALSE,0.405763806,1.681526495
MIG1,HXK1,1,FALSE,0.435237299,1.708247316
MIG1,HXT13,1,FALSE,0.487150686,1.42157357
MIG1,HXT2,1,FALSE,0.457536739,1.780334159
MIG1,HXT4,1,FALSE,0.545834724,1.487982757
MIG1,JEN1,1,FALSE,0.516495121,1.643010608
MIG1,MAL32,1,FALSE,0.572102136,1.414929797
MIG1,PDC1,1,FALSE,0.546010772,1.674850227
MIG1,REG2,1,FALSE,0.436619578,1.716910064
MIG1,SUC1,1,FALSE,0.406405732,1.648161429
MIG1,SUC2,1,FALSE,0.413533051,1.603896152
MIG1,SUC4,1,FALSE,0.488660314,1.402130013
MIG1,TPS1,1,FALSE,0.577126929,1.467547951
MIG1,YBR101C,1,FALSE,0.570622762,1.466330903
MIG1,YDR516C,1,FALSE,0.443455462,1.719578972
MIG1,YEL070W,1,FALSE,0.566833095,1.529914604
MIG1,YFL054C,1,FALSE,0.404693055,1.537638411
MIG1,YKR075C,1,FALSE,0.481283509,1.755709175
MIG1,YLR042C,1,FALSE,0.554281788,1.585315416
MIG1,HAP2_3_4_5,1,FALSE,0.577491769,1.442363849
MIG1,HAP2_HAP4,1,FALSE,0.502406001,1.684949841
MIG2,CAT8,1,FALSE,0.51709965,1.658955371
MIG2,DOG2,1,FALSE,0.508044887,1.533831092
MIG2,HXT13,1,FALSE,0.47986172,1.622978812
MIG2,JEN1,1,FALSE,0.403510858,1.735285006
MIG2,REG2,1,FALSE,0.470093626,1.471072347
MIG2,TPS1,1,FALSE,0.414510862,1.74496823
MIG2,YBR101C,1,FALSE,0.514079639,1.641125604
MIG2,YDR516C,1,FALSE,0.45189481,1.692776324
MIG2,YEL070W,1,FALSE,0.565634579,1.584690214
MIG2,YFL054C,1,FALSE,0.418225199,1.627113146
MIG2,YKR075C,1,FALSE,0.491270881,1.732344282
MIG2,YLR042C,1,FALSE,0.503246269,1.774461699
MOT3,AAC3,1,FALSE,0.586482284,1.576829435
MOT3,ANB1,1,FALSE,0.4765317,1.399874839
MOT3,HEM13,1,FALSE,0.549265628,1.589003617
MSN1,MUC1,1,TRUE,0.549757197,1.520453688
MSN1,STA2,1,TRUE,0.450255467,1.730283096
MSN2,ALD2,1,TRUE,0.467265335,1.678983162
MSN2,ALD3,1,TRUE,0.445915418,1.764990876
MSN2,ARA1,1,TRUE,0.533597064,1.65918645
MSN2,CPH1,1,TRUE,0.402859747,1.779112874
MSN2,CTT1,1,TRUE,0.412287918,1.638424266
MSN2,DDR2,1,TRUE,0.41141026,1.622410861
MSN2,DOG2,1,TRUE,0.571050237,1.649771013
MSN2,GDH3,1,TRUE,0.414302653,1.59074044
MSN2,GLK1,1,TRUE,0.481630768,1.719792914
MSN2,GLO1,1,TRUE,0.450206845,1.617388755
MSN2,GRE3,1,TRUE,0.490218977,1.412623977
MSN2,GRX1,1,TRUE,0.427464279,1.667002364
MSN2,HOR2,1,TRUE,0.54136942,1.511995561
MSN2,HSP104,1,TRUE,0.46428508,1.507950081
MSN2,HSP12,1,TRUE,0.508183711,1.512786481
MSN2,HSP26,1,TRUE,0.541920839,1.76658444
MSN2,HSP42,1,TRUE,0.409651192,1.522488066
MSN2,HSP78,1,TRUE,0.417578499,1.75708522
MSN2,HXK1,1,TRUE,0.435039428,1.437666488
MSN2,MDJ1,1,TRUE,0.580143489,1.426748102
MSN2,MTC2,1,TRUE,0.506193713,1.677671472
MSN2,PGM2,1,TRUE,0.403752582,1.751100144
MSN2,PNC1,1,TRUE,0.52474758,1.433780332
MSN2,RAS2,1,TRUE,0.442319674,1.607696387
MSN2,SOD2,1,TRUE,0.478060792,1.663055703
MSN2,SPS100,1,TRUE,0.44200986,1.406225798
MSN2,SSA3,1,TRUE,0.530350657,1.688816263
MSN2,SSA4,1,TRUE,0.458012112,1.454868131
MSN2,TKL2,1,TRUE,0.400558548,1.563733841
MSN2,TPS1,1,TRUE,0.507963571,1.600031896
MSN2,TTR1,1,TRUE,0.545522502,1.725877025
MSN2,UBI4,1,TRUE,0.414240561,1.689819419
MSN2,YGR086C,1,TRUE,0.579786514,1.601269586
MSN2,YKL151C,1,TRUE,0.459876908,1.604747712
