"pathway","phnx_z_score","mean_path_score","sd_path_score"
"module 334",2.01670448752177,0.08678883,0.0324495583784898
"module 340",-0.550524805553329,0.02068444,0.0157203452282254
"module 341",0.688657663742345,0.02755777,0.018662727036475
"module 346",-0.288982737382457,0.00722992,0.00923902937657644
"module 350",3.95767564905245,0.02050918,0.0149433215968973
"module 352",-0.219615772100833,0.00361534,0.00680889166427192
"module 355",-0.422688502882745,0.01362339,0.0122155913037274
"module 356",1.75440993428447,0.0528173,0.0243459063730281
"module 357",-1.47212620217201,0.1501059,0.0413863294533502
"module 358",1.14565347522308,0.03140732,0.0192053535173152
"module 366",-0.42772345042877,0.01764249,0.0155298709793472
"module 368",-0.461703506494675,0.0174677,0.0149180153564189
"module 377",-0.318883222085025,0.00695613,0.00886258606370472
"module 378",-1.54136301635421,0.23737354,0.0498283267375026
"module 381",-0.434692074112393,0.01041721,0.0111969145283784
"module 382",-0.70826300546148,0.03316762,0.0183937603680311
"module 389",0.343533313378978,0.08644888,0.0324309741329493
"module 392",-0.355908169647096,0.01061335,0.0115573351521507
"module 396",-0.228283945946936,0.00695776,0.00949589333147364
"module 401",-0.525288045718663,0.02373882,0.016236463154861
"module 402",-0.251890567301897,0.00685535,0.00851699221205352
"module 407",-0.390032495435547,0.01103175,0.0114907092420473
"module 408",-0.350400719498322,0.0110597,0.0119568818408778
"module 411",0.713876712672609,0.02767968,0.0178326590208277
"module 412",-0.374413467404253,0.00740618,0.00984521210082446
"module 415",-0.664301168933351,0.02508303,0.0174665205220558
"module 416",-0.632672053015206,0.02751766,0.0175725479685963
"module 417",-0.706174704257914,0.02841878,0.0180957770406526
"module 418",-1.02352106353278,0.05626682,0.024920659582677
"module 421",-0.381290077603406,0.01136467,0.0124437279611957
"module 424",-0.337588380642349,0.01057376,0.0111489619187677
"module 426",0.118116696499325,0.08579967,0.0337829461732601
"module 427",0.587030826757319,0.06322588,0.0282678851665486
"module 430",-0.553722093500549,0.02390315,0.016439925563474
"module 431",-0.443576410917469,0.01377208,0.0125617139749948
"module 438",-1.25102370991247,0.09935029,0.0337645798918993
"module 445",-0.521567719297086,0.0139024,0.0126971048149317
"module 448",-0.163287266460282,0.00330564,0.0061587166090787
"module 453",-0.537907906780678,0.0173342,0.0135417232358512
"module 455",-0.712457252147399,0.02837968,0.018007648825709
"module 456",-0.703070774008358,0.05569273,0.0260183336816992
"module 457",1.53466378905766,0.00980525,0.00984889987485861
"module 458",-0.857144595928454,0.04341762,0.0230388432637897
"module 459",-1.51715516286437,0.23812891,0.0511212774397907
"module 462",-0.628112818650036,0.0254296,0.0179260789872105
"module 465",-0.373622662693874,0.00683688,0.00901144479760491
"module 470",-0.475119348726641,0.01736313,0.0140451657417963
"module 471",-0.362992725616193,0.01009502,0.010895590244367
"module 474",-0.315857106305467,0.01029704,0.01075498993749
"module 478",-0.30716381779577,0.00770634,0.0102106427199226
"module 480",-0.639748913677445,0.04838011,0.023087354560866
"module 481",-0.374372286543015,0.06855873,0.0278165087917197
"module 484",-0.475085651603415,0.02083573,0.016577494970474
"module 486",-0.933690809880355,0.06517174,0.0271628891830368
"module 489",-0.208063845831091,0.00357451,0.00631782035340796
"module 491",-0.593393642682442,0.03251843,0.0202874266491635
"module 492",-0.247925216968838,0.00692279,0.00892523167692995
"module 493",1.99781287941854,0.02465943,0.0183403412689301
"module 495",-0.378617541083022,0.01644767,0.013886493438631
"module 500",2.79257270584771,0.02296362,0.0161092958854025
"module 501",-0.508110069879853,0.017978,0.0146779220529196
"module 503",-0.114004552890735,0.04275847,0.0245470021068555
"module 511",0.770181333614354,0.01008394,0.0105897918373648
"module 522",-0.313008272717346,0.01007652,0.0110429030197592
"module 525",-0.712074041938953,0.0249613,0.0173455276734535
"module 528",-0.356652030160162,0.01038104,0.011891254335761
"module 532",-1.41868085852809,0.22408124,0.0504984891910992
"module 533",-0.778731170202523,0.04427654,0.023187128871834
"module 534",-0.153257248534041,0.00346348,0.0063519344716917
"module 540",-0.535247611253577,0.01425627,0.0132579199809602
"module 543",-0.491307910256034,0.0139505,0.0125593337114894
"module 544",-0.384798040978475,0.06944253,0.0293596349172473
"module 545",-0.512709677972948,0.0167463,0.0133336667781034
"module 547",-0.489636751394538,0.01440986,0.0136526924928752
"module 552",1.66527481457711,0.00727011,0.00960195269875656
"module 557",-0.458902652823447,0.02054314,0.0157618177962087
"module 560",-0.279925955134134,0.00664986,0.00839457705475723
"module 563",-0.459809123108615,0.01501194,0.0140752753147771
"module 567",1.45131552487968,0.03148162,0.0198567296400893
"module 568",-0.538314921129837,0.03011312,0.0178949526046605
"module 571",-0.239908451314625,0.00343522,0.00610741302347226
"module 573",-0.5229269863227,0.01982863,0.0145692041131312
"module 575",-0.492400050072328,0.01827558,0.0155880975212585
"module 576",-0.0439888739097025,0.03849079,0.0216143291585895
"module 1",2.1537500099378,0.35430379,0.0614747344812891
"module 2",-0.735011566909018,0.44407523,0.0671285082049702
"module 3",-0.774220634433501,0.24384998,0.0536668465706835
"module 5",-2.59747390316193,0.41773719,0.0659341330788813
"module 6",0.512344401782592,0.5587145,0.0755556220880234
"module 7",1.51975007298989,0.11568202,0.038682663054158
"module 8",-1.32417509192361,0.26268402,0.0553733569278088
"module 11",1.40466795787821,0.52461444,0.0745340273570032
"module 12",1.90288344490116,0.43013718,0.0675831304038068
"module 13",-0.602516463793059,0.28712952,0.0551346261824469
"module 15",1.09455416673526,0.15057346,0.0405019151607894
"module 16",-0.219505037738525,0.33115587,0.0571552713744312
"module 17",-0.809619976276593,0.16357971,0.0446502199294179
"module 18",-0.457148642407614,0.32423849,0.0588178275197085
"module 19",0.294886113796431,0.29886786,0.0577583656982837
"module 23",-0.784132772637439,0.52701626,0.0715966249072442
"module 24",-1.8291983554046,0.43864044,0.0672100101319012
"module 33",-1.11420775250416,0.35514983,0.064942852746602
"module 38",-0.52807214911351,0.40052854,0.0635680939741898
"module 41",0.116926780055436,0.34350536,0.060846967620479
"module 44",-1.20140643035923,0.26277041,0.0569128050859154
"module 45",-1.67339227928724,0.333489,0.0590262075561095
"module 47",-1.01579954157364,0.22408722,0.0483237272621288
"module 52",-1.34202875419279,0.42144717,0.0683496308953322
"module 53",0.950490259407895,0.3532392,0.061511203740711
"module 55",-0.353235149520498,0.85335161,0.0910345701543335
"module 60",0.200803587362855,0.33369267,0.0591240931296024
"module 66",1.48710154581625,0.58739542,0.0764269126878064
"module 72",-1.01710753631007,0.1719233,0.0435974549563083
"module 79",-1.06528454412314,0.07629266,0.0291027032833928
"module 84",-1.41114558772022,0.46336017,0.0719452130832364
"module 88",-0.527394337621501,0.84573441,0.0886422296660132
"module 94",1.99751359604058,0.36503108,0.0649902560149395
"module 99",-1.12246081665501,0.34185895,0.0596893441676303
"module 100",1.4258693144307,0.59389007,0.0751541034760156
"module 104",0.262549290901528,0.21910434,0.0526212047747702
"module 112",-1.05253566452325,0.30135993,0.0565015818508508
"module 117",-1.71960925643551,0.76667047,0.0872177614994276
"module 118",0.0537263974455849,0.42800799,0.0643447199954471
"module 128",-1.0216412866375,0.07304328,0.0290153504833035
