gene,influence
ELOVL4,1.87E-03
ELOVL5,2.69E-03
EMCN,1.97E-03
EMILIN1,2.08E-03
EMILIN2,2.20E-03
EMX2,9.41E-03
EN1,1.23E-02
ENPP1,1.99E-03
ENTPD3,2.15E-03
EPB41,1.71E-03
EPB41L3,2.01E-03
EPB41L4A,1.80E-03
EPB41L4A-AS2,2.27E-03
EPHA3,1.87E-03
EPHA4,2.12E-03
EPHA7,2.14E-03
EPHX2,1.99E-03
EPHX3,2.28E-03
EPN3,1.92E-03
EPO,2.40E-03
EPYC,2.27E-03
ERBB2,1.76E-03
ERBB3,2.11E-03
ERBB4,2.43E-03
ERCC6L,2.05E-03
EREG,1.91E-03
ERMAP,1.99E-03
ESPL1,2.24E-03
ESR1,4.12E-02
ESRRG,2.59E-02
ETNPPL,1.88E-03
ETV2,1.75E-02
ETV4,4.67E-02
EVA1B,1.89E-03
EVL,2.34E-03
EVPL,2.60E-03
EXO1,1.65E-03
EXTL1,1.65E-03
EYA2,2.37E-03
EZH1,1.51E-03
EZH2,2.46E-03
F2RL2,2.18E-03
F3,2.18E-03
F5,2.22E-03
FAAH,1.90E-03
FABP4,1.66E-03
FABP5,2.06E-03
FABP6,1.81E-03
FABP7,2.18E-03
FADS2,2.13E-03
FAM110B,1.60E-03
FAM120C,2.07E-03
FAM124B,2.26E-03
FAM135A,2.25E-03
FAM13C,2.27E-03
FAM149A,1.87E-03
FAM149B1,1.87E-03
FAM155A,1.87E-03
FAM169A,1.71E-03
FAM171A1,1.99E-03
FAM174B,2.44E-03
FAM198B,1.52E-03
FAM49A,2.26E-03
FAM83E,1.93E-03
FANCA,2.13E-03
FAP,1.75E-03
FASN,2.06E-03
FASTKD2,2.12E-03
FAXDC2,2.54E-03
FBLN1,2.02E-03
FBLN2,1.69E-03
FBN1,1.94E-03
FBN2,2.40E-03
FBP1,2.18E-03
FBXL15,2.13E-03
FBXO17,1.72E-03
FBXO24,2.31E-03
FBXO4,2.06E-03
FBXW4P1,2.01E-03
FCER1A,2.66E-03
FCGBP,1.81E-03
FCGR2C,2.05E-03
FCN2,2.22E-03
FCRL2,1.89E-03
FDXR,1.88E-03
FERMT1,1.80E-03
FES,2.46E-03
FFAR2,1.90E-03
FGB,1.91E-03
FGF1,1.95E-03
FGF14,1.88E-03
FGFBP1,2.54E-03
FGFR2,1.60E-03
FGFR3,2.24E-03
FGFR4,2.05E-03
FHL5,2.22E-03
FHOD3,2.20E-03
FKBP10,1.80E-03
FKBP5,2.68E-03
FLOT1,1.97E-03
FLRT3,2.28E-03
FMO3,2.02E-03
FMO5,2.33E-03
FMOD,2.22E-03
FOLH1B,1.97E-03
FOLR1,2.13E-03
FOS,2.17E-02
FOSB,2.72E-02
FOSL1,2.76E-02
FOXA1,3.07E-02
FOXC1,2.30E-02
FOXD1,1.85E-02
FOXG1,2.46E-02
FOXI1,2.43E-02
FOXJ1,1.97E-03
FOXM1,3.76E-02
FPGT-TNNI3K /// TNNI3K,1.62E-03
FPR2,2.18E-03
FRK,1.99E-03
FRS2,2.49E-03
FRY,2.03E-03
FRZB,2.08E-03
FSBP /// RAD54B,2.89E-03
FST,2.41E-03
FUT3,1.89E-03
FUT6,1.76E-03
FUT7,2.01E-03
FUT9,2.12E-03
FXYD1,1.93E-03
FZD10,2.06E-03
FZD9,2.11E-03
G6PC3,2.75E-03
GAB2,1.84E-03
GABRB3,1.78E-03
GABRD,1.71E-03
GABRE /// MIR224 /// MIR452,2.07E-03
GABRP,1.91E-03
GAD1,2.41E-03
GADD45G,2.45E-03
GALK1,1.53E-03
GALNT10,2.31E-03
GALNT12,2.05E-03
GALNT14,2.43E-03
GALNT3,2.45E-03
GALNT4 /// POC1B-GALNT4,2.41E-03
GALNT6,1.83E-03
GALNT7,2.47E-03
GAMT,2.55E-03
GAN,2.50E-03
GAP43,2.09E-03
GAS1,1.92E-03
GAS2,1.61E-03
GAS7,2.06E-03
GATA3,1.89E-02
GBP1,1.97E-03
GCAT,2.08E-03
GCFC2,1.92E-03
GCM2,2.58E-02
GCNT2,2.21E-03
