"gene","h_cent"
"RPL13 /// SNORD68",5372
"SEC14L1",5372
"SEC14L2",5372
"SFI1",5372
"SOCS2",5372
"TSC2",5372
"UGDH",5372
"CCT7",5372
"CLK1",5372
"ACIN1",5371.83333333333
"AP4E1",5371.83333333333
"CEP350",5371.83333333333
"COQ4",5371.83333333333
"EIF4B",5371.83333333333
"GRB2",5371.83333333333
"JADE1",5371.83333333333
"LZTFL1",5371.83333333333
"OBSL1",5371.83333333333
"PABPN1",5371.83333333333
"PCM1",5371.83333333333
"SLC7A8",5371.83333333333
"SSH3",5371.83333333333
"TAZ",5371.83333333333
"UBP1",5371.83333333333
"PDCD10",5371.83333333333
"ATG7",5371.66666666667
"BLM",5371.66666666667
"CHKA",5371.66666666667
"DLG2",5371.66666666667
"DMTF1",5371.66666666667
"DNASE1",5371.66666666667
"EIF2B5",5371.66666666667
"FBXW11",5371.66666666667
"KPNA2",5371.66666666667
"LSG1",5371.66666666667
"MAP3K3",5371.66666666667
"MOCS3",5371.66666666667
"MRPL48",5371.66666666667
"NSUN6",5371.66666666667
"PPP2R5C",5371.66666666667
"RAB30",5371.66666666667
"SPAG9",5371.66666666667
"TBC1D17",5371.66666666667
"TJP2",5371.66666666667
"UBAP2L",5371.66666666667
"ABCD4",5371.5
"ACTR3",5371.5
"AFF4",5371.5
"APP",5371.5
"ATG16L1",5371.5
"C16orf58",5371.5
"CYTH1",5371.5
"DENND4A",5371.5
"GAPDH",5371.5
"GPBP1L1",5371.5
"HERC1",5371.5
"KAT7",5371.5
"LNPEP",5371.5
"LRCH4",5371.5
"LRRFIP2",5371.5
"MED24",5371.5
"PFKM",5371.5
"POLR3C",5371.5
"PWWP2A",5371.5
"RBM25",5371.5
"RBPJ",5371.5
"RECQL4",5371.5
"RNF115",5371.5
"SGK1",5371.5
"SLC22A5",5371.5
"SNX1",5371.5
"SRGAP3",5371.5
"TLE1",5371.5
"UBE2Z",5371.5
"USP22",5371.5
"USP8",5371.5
"VAPA",5371.5
"ZFP64",5371.5
"ZNF384",5371.5
