"gene","h_cent"
"CD302 /// LY75 /// LY75-CD302",0
"CD320",0
"CD3G",0
"CD4",0
"CD40",0
"CD46",0
"CD47",0
"CD5",0
"CD53",0
"CD6",0
"CD63",0
"CD81",0
"CD82",0
"CD9",0
"CDC123",0
"CDC14B",0
"CDC16",0
"CDC20",0
"CDC25A",0
"CDC27",0
"CDC37",0
"CDC37L1",0
"CDC42",0
"CDC42BPA",0
"CDC42EP3",0
"CDC45",0
"CDC73",0
"CDCA3",0
"CDCP1",0
"CDH1",0
"CDH11",0
"CDH3",0
"CDHR1",0
"CDHR2",0
"CDIP1",0
"CDIPT",0
"CDK10",0
"CDK11A /// CDK11B",0
"CDK16",0
"CDK18",0
"CDK20",0
"CDK2AP2",0
"CDK4",0
"CDK5R1",0
"CDK5RAP2",0
"CDKL1",0
"CDKN1A",0
"CDKN1B",0
"CDKN2AIP",0
"CDKN2B",0
"CDKN3",0
"CDON",0
"CDRT1",0
"CDS2",0
"CDV3",0
"CEBPA-AS1",0
"CELSR3-AS1",0
"CEMP1",0
"CENPBD1P1",0
"CENPT",0
"CENPU",0
"CEP104",0
"CEP164",0
"CEP192",0
"CEP250",0
"CEP55",0
"CEP57",0
"CEP63",0
"CEP72",0
"CEP83",0
"CEP85",0
"CERS1 /// GDF1",0
"CERS4",0
"CES2",0
"CFL1",0
"CFLAR",0
"CGREF1",0
"CHAF1A",0
"CHD1",0
"CHD2",0
"CHD3",0
"CHD4",0
"CHERP",0
"CHFR",0
"CHIC2",0
"CHKB",0
"CHKB-CPT1B /// CPT1B",0
"CHMP1A",0
"CHMP1B",0
"CHMP4A /// TM9SF1",0
"CHMP7",0
"CHN2",0
"CHODL",0
"CHP1",0
"CHPF2",0
"CHPT1",0
"CHRDL1",0
"CHRNA3",0
"CHRNB1",0
"CHST1",0
"CHST8",0
"CHTOP",0
"CHUK",0
"CIB1",0
"CIITA",0
"CINP",0
"CISH",0
"CITED1",0
"CKAP4",0
"CKAP5",0
"CKS1B",0
"CKS2",0
"CLASP1",0
"CLASRP",0
"CLCN3",0
"CLCN4",0
"CLCN5",0
"CLCN7",0
"CLDN10",0
"CLDN7",0
"CLEC16A",0
"CLGN",0
"CLIC1",0
"CLIP1",0
"CLIP2",0
"CLIP4",0
"CLK1",0
"CLK2",0
"CLK3",0
"CLMN",0
"CLN3",0
"CLN6",0
"CLNS1A",0
"CLPP",0
"CLPTM1",0
"CLPX",0
"CLSPN",0
"CLSTN3",0
"CLTCL1",0
"CLU",0
"CLUAP1",0
"CLUH",0
"CLUL1",0
"CNIH3",0
"CNIH4",0
"CNKSR1",0
"CNKSR2",0
"CNN1",0
"CNN2",0
"CNN3",0
"CNNM2",0
"CNOT1",0
"CNOT2",0
"CNOT7",0
"CNOT8",0
"CNPY2",0
"CNR1",0
"CNTD2",0
"CNTFR",0
"CNTLN",0
"CNTN2",0
"CNTNAP1",0
"CNTNAP2",0
"CNTRL",0
"COASY",0
"COBL",0
"COG7",0
"COL18A1",0
"COL4A2",0
"COL4A3",0
"COL4A3BP",0
"COL4A6",0
"COL5A1",0
"COL6A2",0
"COL6A3",0
"COL9A2",0
"COLEC11",0
"COLEC12",0
"COLGALT1",0
"COLQ",0
"COPG1",0
"COPS3",0
"COPS6",0
"COPS7A",0
"COQ2",0
"COQ4",0
"COQ6",0
"COQ9",0
"CORIN",0
"CORO2A",0
"CORO7",0
"COX10",0
"COX16 /// SYNJ2BP-COX16",0
"COX17 /// POPDC2",0
"COX4I1",0
"COX7A2L",0
"CP",0
"CPB1",0
"CPM",0
"CPN2",0
"CPNE1",0
"CPNE3",0
"CPNE7",0
"CPSF1",0
"CPT1A",0
"CR1",0
"CR2",0
"CREBBP",0
"CRIP2",0
"CRISPLD2",0
"CRKL",0
"CRNKL1",0
"CROCC",0
"CROCCP2",0
"CROT",0
"CRTAP",0
"CRTC1",0
"CRTC3",0
"CRY2",0
"CRYBB2P1",0
"CRYBB3",0
"CRYL1",0
"CRYM",0
"CRYZL1",0
"CS",0
"CSAD",0
"CSDE1",0
"CSF2RA",0
"CSF3R",0
"CSNK1A1",0
"CSNK1D",0
"CSNK1E",0
"CSNK1G1",0
"CSNK2A1",0
"CSNK2A2",0
"CSRP1",0
"CSRP2",0
"CST6",0
"CSTA",0
"CTAGE5",0
"CTBP1",0
"CTBP2",0
"CTC1",0
"CTDNEP1",0
"CTDSP1",0
"CTH",0
"CTIF",0
"CTNNA1",0
"CTNNB1",0
"CTNND1 /// TMX2-CTNND1",0
"CTNND2",0
"CTNS",0
"CTR9",0
"CTSA",0
"CTSB",0
"CTSC",0
"CTSD",0
"CTSO",0
"CUEDC1",0
"CUL1",0
"CUL5",0
"CWC25",0
"CXCR6",0
"CXXC4",0
"CXorf40B",0
"CXorf57",0
"CYB561D2",0
"CYB5A",0
"CYFIP1",0
"CYHR1",0
"CYP11A1",0
"CYP17A1",0
"CYP1B1",0
"CYP24A1",0
"CYP26B1",0
"CYP2D6",0
"CYP2E1",0
"CYP39A1",0
"CYP4F3",0
"CYP4F8",0
"CYP7B1",0
"CYSLTR1",0
"CYTH2",0
"CYTH3",0
"DAAM2",0
"DACT1",0
"DAD1",0
"DALRD3",0
"DAP",0
"DAP3",0
"DAPK1",0
"DAPK2",0
"DAPP1",0
"DAZAP1",0
"DBF4",0
"DBI",0
"DBNDD1",0
"DBNDD2 /// SYS1 /// SYS1-DBNDD2",0
"DCAF4",0
"DCAKD",0
"DCLRE1B",0
"DCLRE1C",0
"DCN",0
"DCPS",0
"DCTN1",0
"DCTN5",0
"DCUN1D2",0
"DCUN1D4",0
"DCXR",0
"DDAH1",0
"DDB1",0
"DDB2",0
"DDRGK1",0
"DDX1",0
"DDX10",0
"DDX18",0
"DDX19A",0
"DDX23",0
"DDX3X",0
"DDX41",0
"DDX42",0
"DDX43",0
"DDX51",0
"DDX56",0
"DEAF1",0
"DEF6",0
"DEF8",0
"DEGS1",0
"DEK",0
"DENND1C",0
"DENND2A",0
"DENND3",0
"DENND5A",0
"DENND5B",0
"DENND6B",0
"DEPDC5",0
"DEPTOR",0
"DESI1",0
"DEXI",0
"DFFB",0
"DGAT1",0
"DGCR2",0
"DGCR5",0
"DGKA",0
"DGKD",0
"DGKQ",0
"DGKZ",0
"DHCR24",0
"DHCR7",0
"DHODH",0
"DHRS1",0
"DHRS11",0
"DHRS7",0
"DHRS7B",0
"DHTKD1",0
"DHX15",0
"DHX32",0
"DHX35",0
"DHX57",0
"DHX8",0
"DHX9",0
"DIAPH1",0
"DIDO1",0
"DIEXF",0
"DIMT1",0
"DIP2A",0
"DIXDC1",0
"DKC1 /// MIR664B /// SNORA56",0
"DLC1",0
"DLEU1",0
"DLEU2",0
"DLG1",0
"DLG4",0
"DLG5",0
"DLGAP4",0
"DLL3",0
"DMPK",0
"DMTF1",0
"DMXL1",0
"DMXL2",0
"DNAAF1",0
"DNAAF2",0
"DNAH17",0
"DNAH2",0
"DNAJA2",0
