"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"HDA1_TUP1_input",0.00357051167775184,0.00331448093685803,0.00373760813049556,0.00366044206801772,0.00415651768651252,0.00231981756845996,0.00392936478381606,0.00392861642080441,0.00263881157861506,0.000719869715576409
"SSN6_TUP1_input",0.00160167958986455,0.00301547029473,0.00358987968097103,0.00267931610214735,0.00113380063181551,0.00280722729144768,0.000285270280302939,0.0024471800147549,0.00333729132910897,0.00406669106746761
"A1_ALPHA2",0.000487804016058584,0.00057141739354192,0.000406949012618399,0.000388056103316652,0.000242576089332849,0.000270538521590376,3.1584201058266e-05,0.000393845297463887,0.000153980925678913,0.000252869840776449
"ALPHA1",0.00010931310259142,0.000534886994212052,0.00029293152294846,0.000343285934759402,0.000294275384512865,0.000635434436085218,0.000601476678714529,7.60701164244971e-05,0.00059986552467371,0.000551963433509883
"ALPHA2",0.000481881406884883,0.000659206476238738,0.000639498031298673,0.000360898590848936,0.000211385368908048,0.000268210831057225,0.000507837218722152,0.000273951173638039,0.000310593965425004,0.00020036728099762
"ASH1",0.000432572706008847,0.00037965827449874,0.000308020166950842,0.000483896505785574,0.00051139417276157,0.000212780111541506,0.000460772845602884,0.000205052441684657,8.36724033213366e-05,4.05908588175494e-05
"CCR4",0.000555152267706968,0.000191836884864894,0.000497530013141536,0.000361726332361636,0.000124156503690279,0.00015777574339821,0.00029211795245278,0.000181230793805371,0.000535584943167681,0.000298570840074412
"DAL80",0.000387245090035357,0.000113431402271215,0.000415221239342201,0.000168798746010236,6.61752846835511e-05,0.000645961878079657,0.00062957176183511,0.000159010637701306,0.000355292497178365,0.000775903083046746
"DAL80_GZF3",0.000141271334688204,0.000664008894289518,0.000408101156495367,0.000103243261973661,0.000512442162645094,0.000625800527768459,0.000805829805603839,0.000613948041874998,0.000720253503153337,0.000176415757496677
"GAT1",0.000196932339603845,0.000625957625892357,0.000460588326125247,0.000433765163543649,0.000571578202835734,0.000693282277047015,0.000637955889126921,0.000334587309371205,8.09785646683506e-05,0.000468238080850831
"HAP4",0.000639196908551889,0.000114312748955081,0.000104214602608371,0.000546562849244727,0.000403240452159084,0.000386307785722954,0.000188019433134694,6.0787099969684e-05,0.000347638145322875,0.000552204820384561
"IME1",0.000469539913766232,0.000545837272253164,0.000122227536263187,0.000214453424922489,0.000408168272475637,0.000439167100382879,0.000180044290554074,0.00027740037310562,0.000353856815583866,0.000326564663776823
"INO2",0.000241876899489596,0.000495413116274447,0.000446639280381189,9.1845305417821e-05,0.000179254291633484,0.000642582572791256,0.000608112390695142,0.000786694471159746,0.000528119802970869,0.000169294571691008
"INO2_INO4",0.000538528482415121,0.00067594098996517,0.000950491593167083,0.000671540849724778,0.000563184248830764,0.000132185082543378,0.000505451723771727,0.001059703653701,0.000886178630318306,0.000558340629268287
"MCM1",0.000475053812054025,0.000451677045707983,0.000596455551723972,0.000327451097239192,0.000417016456136755,0.000343608161936628,0.000128709352217589,0.000541893528269562,0.00137094927554784,0.000349556792122675
"MTH1",1.77292548351402e-05,0.000563031372604725,0.000663185394128278,0.000285503572030862,0.000143673289717828,0.000605474140153537,0.00031361156918053,0.000600994887469965,0.000137370308603533,0.000443007895837406
"RAP1",0.00116834618565769,0.00136033605768197,9.47556625931825e-05,0.00129676290731714,0.00103512781182101,0.00191871940906131,0.00132148470209819,0.00166699084612249,0.00135105086355676,0.00111372433836855
"RME1",0.000311546951046858,0.000458411121927365,7.02233532580508e-05,0.000133317698432235,0.000260763304687199,0.000397507711257634,2.55363393539499e-06,8.66514617426435e-07,0.00035728946513068,0.000149021307585386
"ROX1",0.00131001508177804,0.000100013583579752,0.000966656454261893,0.000540016872158351,0.000904035729292199,0.000255298779712754,0.000654294003957322,0.00083713387844899,1.78796073010572e-05,0.000425826421616156
"SIN3",0.00171077670387734,0.00162286234820687,0.00235105577132424,0.00155370333973131,0.00379712172148731,0.00427980744173225,0.00476199873994142,0.00280871023763975,0.00346103876034098,0.00055883208593018
"SWI1",0.000350999018667837,0.000807713695243909,0.000741842925792922,0.000696520923900562,0.000920534377017578,0.00145564976910529,0.00134813471152187,0.00077498075508165,0.000670285193051421,0.0007797533032482
"SWI4",0.000676034073595195,0.000629854203178697,0.000334230943439263,0.000617719346729341,0.000392850702560795,0.000332639136258943,0.000374145013882206,1.08069654205078e-05,0.000149624265261678,0.000785198162984873
"SWI4_SWI6",0.000416497478312236,0.000593673634507901,0.000480672140386073,0.000315539620668746,0.000551141047213544,0.000722305852578995,0.000388818741911647,4.948046444084e-05,0.000100474744447667,0.000712948307078304
