"pathway","phnx_z_score","mean_path_score","sd_path_score"
"dca up.v1 up",-1.23463965241047,0.11011512,0.0327019466134697
"esc j1 up early.v1 up",1.91318133380029,0.10503545,0.0344633040450114
"esc j1 up late.v1 up",-1.00053280808949,0.14445211,0.039241201970149
"esc v6.5 up early.v1 up",1.40502546552821,0.0859001,0.0301132620283818
"esc v6.5 up late.v1 up",1.09092699929227,0.137122,0.0397075148273917
"pten dn.v1 dn",1.02551536484536,0.15032495,0.0422861046129124
"notch dn.v1 dn",0.708767303738218,0.1269621,0.0372448049744548
"eif4e dn",-0.561786281055125,0.02523181,0.0176789827999119
"eif4e up",0.519872276484125,0.0277853,0.0182635243875905
"crx dn.v1 dn",3.31136543854519,0.07062987,0.0260527361298733
"crx dn.v1 up",0.0192308205135082,0.0595799,0.0260051306520552
"crx nrl dn.v1 dn",0.774018234731768,0.07227224,0.0280713800076424
"crx nrl dn.v1 up",-0.949688821862853,0.08037618,0.0291213072780527
"nrl dn.v1 dn",-0.873284518600414,0.06344991,0.0264288550963773
"nrl dn.v1 up",-0.940767433520888,0.08267076,0.0315707782196954
"rb dn.v1 dn",-0.151951793362201,0.06160674,0.0247890460300222
"rb p107 dn.v1 dn",-0.718037991947341,0.03395632,0.0187961084947575
"rb p130 dn.v1 dn",-0.769658480853415,0.04381035,0.022490949467361
"cahoy astrocytic",0.00370543125270277,0.07314033,0.0268983535795722
"cahoy neuronal",0.437387413006249,0.072355,0.0302820785558608
"cahoy oligodendrocutic",0.874310284043155,0.03500099,0.0186993225384422
"il15 up.v1 dn",0.0840694534896701,0.1443502,0.0385371840248497
"il2 up.v1 dn",0.211636953652032,0.13823761,0.038851390828083
"il21 up.v1 dn",0.403045161761836,0.16455301,0.0437593393328509
"pdgf erk dn.v1 dn",1.55728132070692,0.05145275,0.0249455570316387
"pdgf erk dn.v1 up",0.304935739617597,0.09106571,0.0318240492641813
"pdgf up.v1 dn",0.857460991647533,0.11267045,0.0345374895050309
"pdgf up.v1 up",3.7128950884482,0.08116399,0.0291432985372136
"tgfb up.v1 dn",0.41729501242135,0.14605208,0.0369712542464373
"yap1 dn",0.78961828828982,0.02304747,0.0154537074190982
"yap1 up",0.174034634393289,0.01340045,0.0113170002446131
"sirna eif4gi dn",-0.790374502811081,0.04202395,0.0215137886400978
