,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60
SDH4,0.505435107,0.564394908,0.168987867,0.658019995,0.660500365,0.594031233,0.617112012,0.474772216,0.538315512,0.239184113,0.601892005,0.347313707,0.55609091,0.309440655,0.631177504,0.625030707,0.497809753,0.5750842,0.477753908,0.399410139,0.414721555,0.517872923,0.647317282,0.422811589,0.68628029,0.514740004,0.401708399,0.442983928,0.321356477,0.332117401,0.243734804,0.442963106,0.415195648,0.503885998,0.431353721,0.565311367,0.559770078,0.270121044,1.008852407,0.699935919,0.21247561,0.8810673,0.423177283,0.29167882,0.184082052,0.350826194,0.271800084,0.299747038,0.753651135,0.400682582,0.238502173,0.51035869,0.469643015,0.328116384,0.329166826,0.399384821,0.557061003,0.419969264,1.06654693,1.017716756
MDH1,0.752867893,0.721753849,0.143729132,0.366017166,0.131473998,0.223884256,0.204515691,0.231958516,0.429450428,0.668323481,0.232099164,0.751261969,0.7274642,0.551535103,0.237257326,0.453929479,0.266503636,0.659014812,0.395260475,0.576276757,0.76582959,0.243817219,0.485263976,0.472955767,0.574956263,0.603361798,0.433053312,0.528905796,0.542341866,0.362026488,0.697283204,0.45693025,0.151517979,0.747207661,0.474448051,0.292421484,0.672636235,0.194449482,0.646281669,0.289731405,0.20415441,0.733549932,0.216115513,0.444809539,0.633948638,0.270336526,0.549450916,0.363670232,0.632239866,0.284896811,0.873651092,0.148740461,0.667050451,0.536331171,0.533558208,0.194477177,0.497306378,0.540123455,0.256801481,0.240991294
ERG10,0.270110406,0.214488783,0.287091206,0.180386389,0.307814959,0.193012449,0.32425914,0.071797338,0.35205425,0.384523645,0.352335408,0.377552737,0.311292879,0.299539138,0.156859803,0.525554246,0.300034602,0.359251796,0.452844892,0.246682337,0.319463076,0.158762043,0.160401643,0.173138183,0.123321814,0.107909608,0.339859958,0.23341539,0.104215572,0.514547766,0.301401819,0.284424022,0.502658673,0.325367534,0.183925669,0.413685334,0.35189629,0.205403992,0.253255082,0.140472871,0.243193209,0.221984147,0.385530187,0.075209855,0.345095461,0.262178024,0.329321918,0.390200759,0.238044737,0.194989666,0.202786554,0.168202222,0.443953854,0.39258096,0.147757058,0.326016233,0.523230872,0.306713791,0.216473255,0.243757633
INH1,0.613360223,0.231491093,0.480284874,0.275408741,0.300324352,0.361481548,0.482278571,0.301854359,0.399949723,0.74085772,0.769177222,0.293805353,0.459581147,0.419438797,0.119214696,0.542610548,0.299678081,0.565467117,0.498879631,0.682414515,0.421569557,0.752986224,0.551626059,0.234906328,0.255986773,0.371444669,0.468552991,0.190997334,0.474270985,0.391056248,0.290032543,0.530651047,0.434386144,0.253943745,0.375538638,0.465901606,0.487353773,0.250463803,0.347055828,0.736566694,0.247007566,0.183556203,0.54317778,0.358638115,0.229686727,0.246378859,0.234121035,0.490323947,0.484227397,0.4001694,0.383875661,0.896425991,0.632671712,0.350680275,0.683678071,0.488927156,0.568595276,0.492642311,0.398841156,0.582642573
INO1,0.410170947,0.292382825,0.289268583,0.217517994,0.274084201,0.19580214,0.172006466,0.211823356,0.165096397,0.332309633,0.283890142,0.145241976,0.272351909,0.201008649,0.31030756,0.205744747,0.097452706,0.184664015,0.163427579,0.421348231,0.391111691,0.241881043,0.106271817,0.199882341,0.273046299,0.11524422,0.348713286,0.225229166,0.17419238,0.156812369,0.295293546,0.197011417,0.13977354,0.214410343,0.237079898,0.390754187,0.313792112,0.171505177,0.207730196,0.089645416,0.279716347,0.260056859,0.284580588,0.281009305,0.181789285,0.363057592,0.304631334,0.161926016,0.286014066,0.14314665,0.203191612,0.256278663,0.265617614,0.182906624,0.267769138,0.233634577,0.266064964,0.217995609,0.127531358,0.362706151
PHO3,0.426761772,0.140021064,0.328531404,0.456058852,0.41878404,0.192430853,0.302109323,0.320029725,0.262513012,0.270524861,0.239128934,0.361319148,0.198247931,0.333981869,0.393082102,0.22217578,0.186462684,0.172060819,0.285607106,0.110913931,0.336616658,0.233952589,0.572590998,0.334207867,0.259053696,0.278455159,0.136576111,0.506199406,0.24167356,0.39891895,0.191421932,0.142989729,0.387575817,0.327112187,0.432419139,0.196269593,0.216745069,0.167669545,0.256860459,0.113802347,0.374980892,0.182374907,0.287384742,0.103554558,0.279117384,0.372571125,0.218914303,0.298527088,0.315394124,0.210627783,0.304402922,0.606248672,0.340287166,0.36765752,0.247103632,0.603335362,0.387588758,0.110086848,0.296944031,0.14657108
PHO5,0.219997825,0.214356616,0.504383567,0.600487041,0.106903411,0.515604063,0.300538692,0.228013873,0.301527624,0.337520521,0.626410949,0.288514886,0.401397157,0.211800223,0.142043418,0.351789792,0.201845988,0.27492502,0.359787008,0.373785931,0.683925415,0.177273126,0.349993142,0.48102494,0.452676647,0.413297921,0.238829809,0.463833361,0.463266428,0.263059994,0.154830182,0.558372502,0.305195532,0.202405464,0.44965848,0.417781437,0.466546526,0.179377553,0.268483457,0.383583705,0.344855551,0.217087524,0.504576838,0.278605087,0.225666656,0.278292239,0.487670881,0.485265587,0.485241012,0.592692796,0.446164349,0.301515143,0.271645299,0.282053909,0.449855688,0.146449922,0.239006432,0.29739599,0.323673258,0.209947831
DIT1,0.323717086,0.369217148,0.236233001,0.313971514,0.201719712,0.458584709,0.213823316,0.532790751,0.408625268,0.342384467,0.229388767,0.498378976,0.331267134,0.463450272,0.295668252,0.143997853,0.16289642,0.147714652,0.531832215,0.283468709,0.317614357,0.132983128,0.324873848,0.347161978,0.236244082,0.385990551,0.515493048,0.237535203,0.408827792,0.191083113,0.333120468,0.449439036,0.112377047,0.242271031,0.416055158,0.385690213,0.19211161,0.411356782,0.245611124,0.148261373,0.155640065,0.46919385,0.507124256,0.166698137,0.440082386,0.230281254,0.283976754,0.361318327,0.259249425,0.288983589,0.286823981,0.242155809,0.412547291,0.275973954,0.371254209,0.211953404,0.21185583,0.456944697,0.317660208,0.556483427
HOP1,0.145757137,0.095359222,0.123208706,0.116095399,0.263156195,0.200795375,0.314136733,0.131832896,0.269218663,0.161648112,0.342203097,0.083017398,0.207360799,0.361079237,0.21302142,0.215853298,0.058929402,0.340104363,0.270279293,0.222942317,0.178743187,0.277461161,0.298907115,0.203817653,0.210659562,0.257569093,0.217831654,0.12590696,0.279754955,0.133240247,0.254479528,0.209230044,0.271820182,0.317009922,0.27597677,0.24087863,0.364652644,0.232596758,0.316644107,0.163550613,0.225580582,0.279102045,0.242430613,0.199592145,0.200635204,0.439799247,0.162099544,0.208674976,0.355365425,0.279735828,0.175840644,0.334862562,0.282436812,0.225895869,0.081442399,0.172814915,0.260342582,0.349171656,0.089971766,0.516168005
IME2,0.069474966,0.176391709,0.195871503,0.264762446,0.160174077,0.258227134,0.229194555,0.139591156,0.077104355,0.242593157,0.204512962,0.184527553,0.0774813,0.260110747,0.115491816,0.106913455,0.065248182,0.073576431,0.201119439,0.06229442,0.137071259,0.102969993,0.252457088,0.260757745,0.320578538,0.187039152,0.172025656,0.137303805,0.263355232,0.286775927,0.15109715,0.223588908,0.223288474,0.14085362,0.160458117,0.354880886,0.305347513,0.289346304,0.230110732,0.236532603,0.144951355,0.248101607,0.081961827,0.21806833,0.22095397,0.301379972,0.266342561,0.240575835,0.337111404,0.219479642,0.191912248,0.230740676,0.186492412,0.163579872,0.123878116,0.297794079,0.214786457,0.195526929,0.118483979,0.284351624
MER1,0.169672259,0.113445107,0.174147534,0.30380377,0.337059646,0.256628506,0.169456838,0.094767286,0.118505586,0.332635862,0.230760924,0.28145758,0.167770624,0.231801007,0.249248159,0.133866464,0.204339398,0.226868757,0.249548298,0.203647132,0.089284252,0.287123852,0.133804544,0.133787192,0.094980529,0.093341972,0.085657649,0.143238362,0.16019804,0.208736745,0.162966942,0.073155931,0.069903613,0.317167779,0.194804438,0.330798012,0.32599139,0.129011478,0.182491911,0.33493365,0.304390249,0.171424297,0.273907407,0.193215701,0.25209226,0.305461922,0.425528064,0.282363423,0.336383441,0.324979439,0.063359649,0.262371808,0.062665718,0.219492315,0.094833416,0.217428643,0.257361454,0.191642455,0.078891694,0.446767937
REC114,0.226811072,0.236699701,0.084610517,0.170594364,0.334956721,0.142839314,0.176395797,0.093287151,0.154494912,0.185214191,0.289538516,0.32351797,0.221493367,0.159604095,0.231304714,0.259213166,0.125425778,0.23836708,0.254797083,0.139422371,0.113723069,0.222479087,0.141666592,0.259632206,0.256305733,0.140979958,0.197456805,0.339898658,0.241406932,0.312971979,0.160554499,0.102887752,0.280841997,0.189748941,0.122426354,0.223687024,0.099527938,0.146319852,0.348696003,0.264967748,0.121888062,0.262372383,0.13793712,0.164920564,0.327589744,0.121017025,0.057864619,0.16977581,0.167687204,0.195991802,0.20992343,0.095670577,0.252114611,0.258543577,0.154020835,0.249929431,0.11171721,0.181677516,0.253379437,0.07410393
RIM11,0.176453925,0.224272301,0.233562049,0.191720707,0.092803057,0.304929329,0.128238149,0.162711944,0.188973491,0.15594029,0.204279544,0.2396558,0.048688999,0.237103589,0.229678791,0.189370713,0.059211109,0.20057899,0.213475369,0.108378969,0.305122116,0.20841628,0.16585976,0.130998855,0.204732275,0.209793434,0.245407608,0.285668531,0.115023634,0.259512078,0.130260617,0.312325009,0.322342708,0.320396226,0.142818631,0.27133516,0.129013581,0.285485046,0.11325103,0.248414143,0.216759498,0.311726883,0.085641179,0.196294779,0.061397308,0.283905061,0.146307489,0.146659539,0.083018819,0.172072719,0.230044034,0.27378755,0.19125972,0.115461413,0.25759261,0.231857479,0.174542707,0.187572042,0.221974069,0.232471429
RIM4,0.236860259,0.327116855,0.098116083,0.2611595,0.139796541,0.153307794,0.067417475,0.116360892,0.088744215,0.140368071,0.183234976,0.278539517,0.199356843,0.205936344,0.113229594,0.186449248,0.132598168,0.118951046,0.268612145,0.279529227,0.097201919,0.204013161,0.151939814,0.242613079,0.312429133,0.200323886,0.26181146,0.228337587,0.242093471,0.201428428,0.211716134,0.242652287,0.27984367,0.355979781,0.304271913,0.243339184,0.291605917,0.234170705,0.282828556,0.221738779,0.191932831,0.121859904,0.152955755,0.076064811,0.112597941,0.222842774,0.07958017,0.06829229,0.242186776,0.082281193,0.147405299,0.271796061,0.068400319,0.194175086,0.161534692,0.309886007,0.187980257,0.138065593,0.084977156,0.119673705
SGA1,0.100316565,0.390848135,0.392350936,0.199348955,0.123183924,0.246688065,0.361323898,0.343975105,0.304521333,0.231286885,0.140827991,0.303873604,0.177038841,0.239627653,0.296088056,0.231486407,0.251558152,0.260983453,0.094634343,0.278257876,0.295842214,0.374620777,0.256759953,0.253882398,0.274090104,0.119338995,0.326685607,0.109386319,0.341985209,0.108713645,0.331884801,0.26857323,0.261794147,0.221668644,0.083912639,0.28522641,0.093449317,0.304503738,0.320839222,0.37385572,0.147013453,0.28770929,0.14989838,0.105513527,0.289000622,0.223818585,0.232170697,0.106206629,0.101340277,0.274001953,0.155209165,0.181588711,0.171036917,0.202650386,0.276535759,0.289063523,0.064140338,0.163982763,0.100026249,0.220853458
SPO11,0.422965822,0.390377151,0.535424198,0.174917436,0.328256516,0.271485494,0.178877681,0.330512471,0.144790406,0.2547644,0.42319462,0.52853721,0.200824235,0.435782372,0.141528991,0.365654826,0.326167836,0.430654289,0.151430613,0.237016151,0.179838083,0.304407728,0.492737088,0.349298708,0.236520664,0.486028444,0.091894675,0.314873049,0.306863023,0.400541033,0.239906021,0.257175708,0.16611259,0.141534256,0.483645938,0.484533379,0.346734569,0.274555573,0.3329745,0.247119323,0.465613839,0.14607333,0.349939439,0.268002485,0.143178769,0.375693452,0.30323364,0.459702376,0.140125716,0.462304591,0.441035726,0.25731947,0.291031452,0.086809743,0.412175958,0.272904009,0.260299168,0.212764248,0.367219013,0.384879523
