"sample","gene","early2cell","mid2cell","late2cell","4cell","8cell","16cell","earlyblast","midblast","lateblast"
"prcntl_0.5","Fcf1",0.304207120680537,0.456950984260843,0.601783578873635,0.676754726328512,0.66981487122053,0.646211286357481,0.590518501204671,0.480496756098964,0.607181801857176
"prcntl_0.5","Psmb5",0.123430375053904,0.443236967811623,0.571225151711154,0.607164629040716,0.614705967954823,0.64933989126516,0.627608802223181,0.550286864974418,0.603424438097899
"prcntl_0.5","Nedd8",0.482382729769789,0.42041568515542,0.471954001623163,0.599197485685781,0.615344277421456,0.642954312259104,0.680591461907861,0.587032494973771,0.656775112052446
"prcntl_0.5","Hmgb1",0.561081707181752,0.57446512632752,0.546267634827639,0.629261605105889,0.612276335068894,0.50066841994987,0.656953022611949,0.661792257964798,0.562020041098976
"prcntl_0.5","Dppa2",0.470569834101389,0.552266815523788,0.632498804755534,0.598067209666262,0.623109152817965,0.588506505447824,0.697561045376021,0.53610862197998,0.364722642758534
"prcntl_0.5","Ambp",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"prcntl_0.5","Gsta3",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.274005517560963,-0.921034037197618,-0.921034037197618,-0.210165419202919,-0.921034037197618
"prcntl_0.5","Hpd",-0.921034037197618,0.0304883014356472,-0.921034037197618,0.115160109111483,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.218758053539758
"prcntl_0.5","Chka",-0.282088790441148,0.456883833176223,0.600416875974102,0.578575157164979,0.628237924880855,0.571523037751582,0.330230174806328,0.438117721907758,0.589786801262944
"prcntl_0.5","Gm428",0.198341267943226,0.730726051582756,0.589883202933977,0.166174600970378,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"prcntl_0.5","Cldn4",-0.921034037197618,-0.0136331968457515,-0.921034037197618,-0.921034037197618,0.619589469689519,0.507369476126632,0.188760870328925,0.618816842366782,0.655699058805713
"prcntl_0.5","Dpy30",0.650465688454989,0.607436326492068,0.538724245521573,0.553801211481442,0.547518741874366,0.627772866093705,0.616284378977537,0.57039906945536,0.593751388771202
"prcntl_0.5","Ndufa7",0.223261520601464,0.300477916782229,0.417437303580203,0.546302905375022,0.550917109380574,0.607788646283466,0.595991547848929,0.630816953636474,0.607376388400897
"prcntl_0.5","0610010O12Rik",0.252692266113037,0.240786719297744,0.341725373635209,0.165191107088285,0.368322034467743,0.461504849165345,0.571033001844215,0.603391020305313,0.646851016244058
"prcntl_0.5","Calr",0.482476908129749,0.21906292433758,0.490239334766412,0.435124337340462,0.461909011227455,0.552051786833479,0.58265034886304,0.531022545954554,0.618214827311803
"prcntl_0.5","C1qbp",0.348725040913544,0.516248610929546,0.579435327753815,0.57449156354696,0.608136740388603,0.570887206643257,0.465782718363503,0.468029252332731,0.527659499252482
"prcntl_0.5","Gm11428",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"prcntl_0.5","Cct7",0.36228026832313,0.376604246481117,0.51509467275431,0.531411932853526,0.643162070074675,0.579105750526921,0.573682777694476,0.62288196446864,0.631319681887027
"prcntl_0.5","H1foo",0.59620504245405,0.451272825720091,0.410038194981502,-0.212516650046801,0.198993274730061,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"prcntl_0.5","Tcl1b3",0.657029195011982,0.595106681718935,0.443739832204673,-0.148831926428817,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
