"gene","early2cell","mid2cell","late2cell","4cell","8cell","16cell","earlyblast","midblast","lateblast"
"Fbxl12",0.28087840560567,0.420739052227665,0.420323999875874,0.227375316864349,-0.239405872874168,-0.921034037197618,-0.266360587922788,0.0112460989184544,0.0665016073429847
"Fbxl15",-0.921034037197618,-0.921034037197618,-0.36995436487038,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Fbxl17",0.07531774466832,0.0264267107962723,-0.419133815818524,-0.921034037197618,-0.552574209141435,-0.921034037197618,-0.50955238972872,-0.504032769538627,-0.419869101753296
"Fbxl21",0.215710063885079,0.215056433967877,-0.252883154665322,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Fbxl22",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Fbxo4",-0.921034037197618,-0.921034037197618,-0.0826153156860374,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Fbxo5",0.541470510534367,0.558614631094486,0.549749069720133,0.528894488405407,0.486724127730761,0.481097549262633,0.422084261447559,0.467100865839932,0.444592108908914
"Fbxo7",0.323520068066664,0.195367986742349,0.0989857138980282,-0.251489329038921,-0.921034037197618,-0.921034037197618,-0.272306396478817,-0.382429862050951,-0.921034037197618
"Fbxo31",-0.921034037197618,-0.333794366074813,0.0707320079200989,0.248341531985812,0.286957717969232,0.209703210092367,-0.120468350680512,-0.0205668426026092,-0.282032941550202
"Fbxo43",0.440160972838781,0.367251000321228,0.296393695637728,-0.265188631037476,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Fbxw5",0.26325958539672,0.208096565390863,0.136494926242481,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.0169032993651193,-0.0211603469188959,-0.114601040974791
"Fbxw7",0.0898138418699921,0.105730086269096,0.066249847170346,-0.213578838917356,-0.921034037197618,-0.921034037197618,-0.131881538466463,0.120112582644711,0.239672208728529
"Fbxw11",0.244848014784368,0.351179610721108,0.301577897141792,0.23122660849847,0.287161259755094,0.182364265844588,0.254152762089189,0.286595046474569,0.242150194483786
"Fem1b",0.295756129419415,0.326261905534248,0.339877617054472,0.349401667722183,0.125335380705303,-0.146922256328072,0.192001208242166,0.21036938049935,0.238400307610879
"Fen1",0.462998964943646,0.300627441830769,0.50219564678656,0.507280584656706,0.567153245127039,0.543015622354439,0.597547509228952,0.61023454716584,0.527775049545645
"Fes",-0.921034037197618,-0.921034037197618,-0.537168378496056,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Fgf8",0.0292904427042444,-0.271396873993069,-0.469669086134625,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Fgf10",0.183942054665062,0.10034399074103,-0.111753145852697,-0.921034037197618,-0.00267466931135654,-0.921034037197618,0.156209428723556,0.204155184654768,-0.0261237922173994
"Fgfr1",0.129848045328624,-0.0406588272261944,0.00530860012297261,0.148735738533152,0.279792917932383,0.147041595773561,0.257959297754846,0.353870765692782,0.339537640333952
"Fgfr2",0.174530250076874,-0.160132088843521,0.030721941438644,-0.16120624905425,0.273154231743074,0.285244826004451,0.290718328602055,0.324623190746232,0.38105594825518
"Fgfr3",-0.177795968319814,-0.0754418171870953,-0.0976943955359926,-0.0156568371225201,-0.0284061036713966,-0.0465872594490017,-0.141611449424376,-0.163905976054019,-0.198937508380788
"Fhl1",-0.921034037197618,-0.921034037197618,-0.507521532937553,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Fhl4",-0.921034037197618,-0.921034037197618,-0.374433578054287,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Fignl1",0.29835654880547,0.0801824730358748,0.146141298165448,0.252577074487801,0.17468779626035,0.0667040502966497,0.27624797397613,0.342382064259451,0.286710091883108
"Flcn",0.411700424643021,0.379090385266412,0.393687485164163,0.211695422242302,0.228824444212113,0.198332073703133,0.171042763434323,0.0599576274457579,0.228140790415932
"Flna",-0.101620625064473,0.117643876317323,0.195810859962697,0.0360243843162032,-0.358795292965386,-0.300040494719153,-0.4578973443036,-0.38667447190366,-0.208264999679161
"Fmn2",0.448641804586338,0.434994918606684,0.368258504232116,-0.0428114006045006,-0.192578375628566,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Foxj2",0.138955661449158,0.133338043144764,0.158642730784383,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Foxj3",0.537758063770522,0.557326173866677,0.558124054690647,0.450318963142414,0.211995143401927,0.11519135802449,0.150433930704812,0.169208562996248,0.0654167590265011
"Foxm1",0.425854805702002,0.468047332486391,0.442233357765566,0.37778544168351,0.170010016691091,0.111283146274387,-0.00266410344958055,0.0913432375258329,-0.142911055820764
"Foxn3",0.397443919968337,0.396505529650708,0.368729623873837,0.32797843087995,0.341814246442028,0.326735472040048,0.176619322755932,0.216496697799964,0.237629437086476
"Foxo4",-0.921034037197618,0.0256510076773554,0.19511146248617,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.253869844111085
"Fsd1",0.222874408748963,0.178095519276305,0.16948149420804,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Fzr1",0.375915874543996,0.350456281884427,0.322735254477901,0.19525740142032,0.215164885286229,0.277985219272916,0.243319931961174,0.34622090253932,0.251619111482184
"Gadd45a",0.0231742462746023,0.408531718659596,0.387583965771689,-0.293485981321912,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Gas1",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Gem",0.0784001975705051,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
